                   Player    G   PA   AB   R    H  2B  3B  HR   TB  RBI  SB  CS  SH  SF   SO   BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP    TTO%      K%    BB%  BB/K                Team League
0          Akiyama Takumi    2    4    3   0    0   0   0   0    0    0   0   0   1   0    2    0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000   50.0%   50.0%   0.0%  0.00      Hanshin Tigers     CL
1             Aoyagi Koyo   18   37   32   1    4   1   0   0    5    4   0   0   5   0   12    0    0   0    0  0.125  0.125  0.156  0.281   -16  0.031  0.200   32.4%   32.4%   0.0%  0.00      Hanshin Tigers     CL
2             Baba Kosuke   19    3    3   0    0   0   0   0    0    0   0   0   0   0    2    0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000   66.7%   66.7%   0.0%  0.00      Hanshin Tigers     CL
3          Beasley Jeremy   18   11   11   0    0   0   0   0    0    0   0   0   0   0    7    0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000   63.6%   63.6%   0.0%  0.00      Hanshin Tigers     CL
5          Chikamoto Koji  129  585  501  83  143  24  12   8  215   54  28   3   0   5   71   67    2  12    6  0.285  0.379  0.429  0.808   144  0.144  0.316   25.0%   12.1%  11.5%  0.94      Hanshin Tigers     CL
7      Haraguchi Fumihito   54   56   52   2   10   1   0   2   17    8   0   0   0   0   18    3    0   1    2  0.192  0.250  0.327  0.577    73  0.135  0.250   41.1%   32.1%   5.4%  0.17      Hanshin Tigers     CL
8             Inoue Kouta   13   37   35   3    8   2   1   0   12    7   0   0   0   0   18    2    0   0    0  0.229  0.270  0.343  0.613    84  0.114  0.471   54.1%   48.6%   5.4%  0.11      Hanshin Tigers     CL
10         Itayama Yutaro   12   17   17   1    1   0   0   0    1    0   0   0   0   0    7    0    0   0    1  0.059  0.059  0.059  0.118   -64  0.000  0.100   41.2%   41.2%   0.0%  0.00      Hanshin Tigers     CL
11           Itoh Masashi   21   52   43   1    5   0   0   0    5    2   0   0   7   0   26    2    0   0    1  0.116  0.156  0.116  0.272   -17  0.000  0.294   53.8%   50.0%   3.8%  0.08      Hanshin Tigers     CL
12          Itohara Kento   69   83   72   1   17   1   0   0   18    5   0   0   0   0   16    9    1   2    1  0.236  0.337  0.250  0.587    79  0.014  0.304   30.1%   19.3%  10.8%  0.56      Hanshin Tigers     CL
17           Kinami Seiya  127  470  408  41  109  22   1   1  136   41   0   0  20   7  103   31   12   4   13  0.267  0.320  0.333  0.653    97  0.066  0.347   28.7%   21.9%   6.6%  0.30      Hanshin Tigers     CL
18       Kirishiki Takuma   27    6    6   0    1   0   0   0    1    0   0   0   0   0    3    0    0   0    0  0.167  0.167  0.167  0.334     1  0.000  0.333   50.0%   50.0%   0.0%  0.00      Hanshin Tigers     CL
20       Kumagai Takahiro   26    9    6   7    2   0   0   0    2    0   3   1   1   0    2    2    0   0    0  0.333  0.500  0.333  0.833   157  0.000  0.500   44.4%   22.2%  22.2%  1.00      Hanshin Tigers     CL
21           Maegawa Ukyo   33  107   94   6   24   3   2   0   31    7   0   2   0   0   25    9    0   4    1  0.255  0.346  0.330  0.676   106  0.075  0.348   31.8%   23.4%   8.4%  0.36      Hanshin Tigers     CL
22           Mieses Johan   60  143  126  11   28   3   0   5   46   16   0   0   0   2   45   14    1   1    3  0.222  0.301  0.365  0.666   101  0.143  0.295   44.8%   31.5%   9.8%  0.31      Hanshin Tigers     CL
23         Mombetsu Keito    2    2    2   0    0   0   0   0    0    0   0   0   0   0    2    0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000         100.0%  100.0%   0.0%  0.00      Hanshin Tigers     CL
24        Morishita Shota   94  377  333  42   79  14   1  10  125   41   1   0   0   4   70   29    1  11    6  0.237  0.316  0.375  0.691   108  0.138  0.268   28.9%   18.6%   7.7%  0.41      Hanshin Tigers     CL
25         Murakami Shoki   22   49   44   2    6   0   0   0    6    0   0   0   3   0   23    2    0   0    2  0.136  0.174  0.136  0.310    -5  0.000  0.286   51.0%   46.9%   4.1%  0.09      Hanshin Tigers     CL
26         Nagasaka Kenya   10   12    9   0    2   0   0   0    2    0   0   0   3   0    3    0    0   0    0  0.222  0.222  0.222  0.444    34  0.000  0.333   25.0%   25.0%   0.0%  0.00      Hanshin Tigers     CL
27          Nakano Takumu  143  660  575  80  164  17   5   2  197   40  20  12  21   5  107   57    2   2    5  0.285  0.349  0.343  0.692   110  0.058  0.344   25.2%   16.2%   8.6%  0.53      Hanshin Tigers     CL
28          Neuse Sheldon  133  516  475  42  114  13   1   9  156   56   0   0   0   3   85   36    0   2   13  0.240  0.295  0.328  0.623    88  0.088  0.273   25.2%   16.5%   7.0%  0.42      Hanshin Tigers     CL
29            Nishi Junya   17   25   22   2    5   1   0   0    6    5   0   0   2   0    9    1    0   0    0  0.227  0.261  0.273  0.534    61  0.046  0.385   40.0%   36.0%   4.0%  0.11      Hanshin Tigers     CL
30             Nishi Yuki   18   33   28   1    1   1   0   0    2    0   0   0   5   0   12    0    0   0    1  0.036  0.036  0.071  0.107   -68  0.035  0.062   36.4%   36.4%   0.0%  0.00      Hanshin Tigers     CL
31           Obata Ryuhei   47   91   78  12   22   1   1   0   25    8   3   1   5   0   23    8    4   0    0  0.282  0.349  0.321  0.670   104  0.039  0.400   34.1%   25.3%   8.8%  0.35      Hanshin Tigers     CL
32         Ohtake Koutaro   21   48   41   2    4   1   0   0    5    3   0   0   5   0   27    2    0   0    1  0.098  0.140  0.122  0.262   -20  0.024  0.286   60.4%   56.2%   4.2%  0.07      Hanshin Tigers     CL
33          Ohyama Yusuke  143  625  513  80  148  29   0  19  234   78   3   3   0   8  120   99    5   5   13  0.288  0.403  0.456  0.859   159  0.168  0.338   38.1%   19.2%  15.8%  0.82      Hanshin Tigers     CL
35            Onodera Dan   43   83   75   8   26   2   2   0   32   11   0   0   1   0   12    7    0   0    0  0.347  0.402  0.427  0.829   151  0.080  0.413   22.9%   14.5%   8.4%  0.58      Hanshin Tigers     CL
36         Oyokawa Masaki   33    1    0   0    0   0   0   0    0    0   0   0   1   0    0    0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000           0.0%    0.0%   0.0%            Hanshin Tigers     CL
37           Saiki Hiroto   19   35   32   1    1   0   0   0    1    0   0   0   3   0   21    0    0   0    0  0.031  0.031  0.031  0.062   -81  0.000  0.091   60.0%   60.0%   0.0%  0.00      Hanshin Tigers     CL
38           Sakaeda Yuki    2    4    3   0    1   0   0   0    1    0   0   0   1   0    1    0    0   0    0  0.333  0.333  0.333  0.666   102  0.000  0.500   25.0%   25.0%   0.0%  0.00      Hanshin Tigers     CL
39      Sakamoto Seishiro   84  289  243  10   55   5   1   0   62   21   0   0  18   5   62   19    1   4    4  0.226  0.288  0.255  0.543    65  0.029  0.296   28.0%   21.5%   6.6%  0.31      Hanshin Tigers     CL
40           Sato Teruaki  132  548  486  70  128  30   6  24  242   92   7   5   0   4  139   54    5   4    4  0.263  0.339  0.498  0.837   150  0.235  0.318   39.6%   25.4%   9.9%  0.39      Hanshin Tigers     CL
41          Shimada Kairi  101  121  110  12   16   0   1   1   21    6   7   1   1   0   26    7    0   3    4  0.145  0.217  0.191  0.408    24  0.046  0.181   28.1%   21.5%   5.8%  0.27      Hanshin Tigers     CL
43             Tomida Ren    9    1    0   0    0   0   0   0    0    0   0   0   1   0    0    0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000           0.0%    0.0%   0.0%            Hanshin Tigers     CL
