#,,Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,League
,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,4242,3723,381,910,137,19,68,1289,351,84,30,120,18,839,347,36,34,74,0.244,0.313,0.346,0.659,108,0.102,0.297,29.6%,19.8%,8.2%,0.41,1.8,CL
,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,4156,3773,341,917,161,18,59,1291,325,51,35,75,14,790,264,25,30,58,0.243,0.297,0.342,0.639,95,0.099,0.292,26.8%,19.0%,6.4%,0.33,-5.2,CL
,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/BayStars.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6228"" />",<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,4089,3710,364,892,165,14,71,1298,356,55,23,56,31,762,247,29,45,78,0.240,0.294,0.350,0.643,97,0.109,0.282,26.4%,18.6%,6.0%,0.32,-0.5,CL
,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Giants.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6227"" />",<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,4198,3747,350,914,150,13,76,1318,337,45,34,73,23,862,321,26,34,64,0.244,0.308,0.352,0.659,106,0.108,0.296,30.0%,20.5%,7.6%,0.37,-6.0,CL
,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Swallows.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6226"" />",<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,3985,3552,304,816,142,10,60,1158,287,47,23,95,21,755,282,23,35,61,0.230,0.291,0.326,0.617,84,0.096,0.274,27.5%,18.9%,7.1%,0.37,-1.8,CL
,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Dragons.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6225"" />",<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,4079,3662,300,834,151,17,60,1199,283,66,24,103,17,834,272,31,25,53,0.228,0.284,0.327,0.612,95,0.100,0.278,28.6%,20.4%,6.7%,0.33,1.2,CL
,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Buffaloes.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6222"" />",<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,4177,3771,381,971,152,15,75,1378,374,48,22,53,28,725,286,11,39,67,0.257,0.314,0.365,0.680,112,0.108,0.299,26.0%,17.4%,6.8%,0.39,-1.7,PL
,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Marines.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6240"" />",<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,4002,3612,326,853,153,14,56,1202,315,53,18,61,25,789,257,11,47,62,0.236,0.294,0.333,0.626,91,0.097,0.285,27.5%,19.7%,6.4%,0.33,0.8,PL
,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Hawks.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6220"" /> ",<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,4162,3682,423,920,139,20,79,1336,408,85,20,71,26,838,343,14,40,73,0.250,0.319,0.363,0.681,108,0.113,0.301,30.3%,20.1%,8.2%,0.41,5.3,PL
,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Eagles.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6218"" />",<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,4173,3719,344,919,120,25,53,1248,334,96,18,50,38,804,324,13,42,76,0.247,0.312,0.336,0.647,107,0.088,0.299,28.3%,19.3%,7.8%,0.40,7.7,PL
,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Lions.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6219"" />",<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,4036,3625,296,830,133,15,54,1155,272,69,31,74,25,702,272,16,40,66,0.229,0.288,0.319,0.607,87,0.090,0.268,25.5%,17.4%,6.7%,0.39,-0.8,PL
,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Fighters.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6217"" />",<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,4221,3815,427,948,156,22,101,1451,414,56,24,38,18,892,312,10,38,63,0.248,0.310,0.380,0.691,108,0.132,0.298,30.9%,21.1%,7.4%,0.35,-0.9,PL
,,League Average,4127,3699,353,894,147,17,68,1277,338,63,25,72,24,799,294,20,37,66,0.242,0.302,0.345,0.647,100,0.104,0.289,28.1%,19.4%,7.1%,0.37,-0.0,
